,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14
p0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p5,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
p6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
p10,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
p11,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
p12,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
p13,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
p14,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
